title,skills,level,rating,platform,combined_features
ChatGPT Unleashed: Master GPT-4 & Prompt Engineering,"Make the most out of ChatGPT by learning GPT-4, plugins, code interpreter and prompt engineering techniques.",Intermediate,4.5,Udemy,"ChatGPT Unleashed: Master GPT-4 & Prompt Engineering Make the most out of ChatGPT by learning GPT-4, plugins, code interpreter and prompt engineering techniques. All Levels"
3D Pixel Art for non artist. Crossy Road Modeling. Unity 3D,"Master 3D pixel art to design characters for Unity3D game engine, cocos2d like Minecraft",Intermediate,4.0,Udemy,"3D Pixel Art for non artist. Crossy Road Modeling. Unity 3D Master 3D pixel art to design characters for Unity3D game engine, cocos2d like Minecraft All Levels"
Sustainability Management in Business,"Everything you need to know about creating sustainable value, ESG and building business resilience",Intermediate,4.2,Udemy,"Sustainability Management in Business Everything you need to know about creating sustainable value, ESG and building business resilience Intermediate"
Certified Internal Auditor (CIA) Part 1 Practice Test,Certified Internal Auditor - Part 1 (Essentials of Internal Auditing) : Mock Practice Test with detailed explanations,,4.8,Udemy,Certified Internal Auditor (CIA) Part 1 Practice Test Certified Internal Auditor - Part 1 (Essentials of Internal Auditing) : Mock Practice Test with detailed explanations nan
Introduction to the Accounting Statement of Cash Flows,"This course describes the purpose, the elements that make up the statement, and strategy on preparing the statement.",Beginner,4.5,Udemy,"Introduction to the Accounting Statement of Cash Flows This course describes the purpose, the elements that make up the statement, and strategy on preparing the statement. Beginner"
Professional Diploma in Corporate Management,Professional Diploma in Corporate Management by MTF Institute,Intermediate,4.4,Udemy,Professional Diploma in Corporate Management Professional Diploma in Corporate Management by MTF Institute All Levels
Digital Advertising and Marketing 101: The Complete Guide,"Complete Digital Marketing Course: Social Media, Search, Video, Display, over 60,000 Students - Updated 2023",Intermediate,4.4,Udemy,"Digital Advertising and Marketing 101: The Complete Guide Complete Digital Marketing Course: Social Media, Search, Video, Display, over 60,000 Students - Updated 2023 All Levels"
Beginners Guitar Lessons | The Essential Acoustic Course,Learn properly from day 1 with our beginners guitar lessons. Improve your acoustic skills fast with our unique method.,Beginner,4.7,Udemy,Beginners Guitar Lessons | The Essential Acoustic Course Learn properly from day 1 with our beginners guitar lessons. Improve your acoustic skills fast with our unique method. Beginner
Biology Meets Programming: Bioinformatics for Beginners,"{"" Bioinformatics"","" Computational Thinking"","" Problem Solving"","" Biostatistics"","" Computational Logic"","" Critical Thinking""}",Beginner,4.2,Coursera,"Biology Meets Programming: Bioinformatics for Beginners {"" Bioinformatics"","" Computational Thinking"","" Problem Solving"","" Biostatistics"","" Computational Logic"","" Critical Thinking""} Beginner "
Security: Manage Network Security With pfSense Firewall,"Use an open source firewall to protect your network. Use features like Failover, Load Balancer, OpenVPN, IPSec, Squid",Intermediate,3.0,Udemy,"Security: Manage Network Security With pfSense Firewall Use an open source firewall to protect your network. Use features like Failover, Load Balancer, OpenVPN, IPSec, Squid All Levels"
Becoming an Entrepreneur,"Entrepreneurship, Lean Methodologies, Design Thinking, Market Research",Beginner,0.0,edX,"Becoming an Entrepreneur Entrepreneurship, Lean Methodologies, Design Thinking, Market Research Introductory"
"Microsoft Word Like a Boss - Get Certified, Master Long Docs","From Beginner to Pro with Word 2013, 2016, or 2019, and prep for the 77-725. Includes FREE keyboard shortcut guide",Intermediate,4.5,Udemy,"Microsoft Word Like a Boss - Get Certified, Master Long Docs From Beginner to Pro with Word 2013, 2016, or 2019, and prep for the 77-725. Includes FREE keyboard shortcut guide All Levels"
Project Management - Complete Guide For A+ Project Managers,"Complete guide to project management - stakeholders, planning, cost, quality, risks, feasibility, methods & resourcing",Intermediate,4.4,Udemy,"Project Management - Complete Guide For A+ Project Managers Complete guide to project management - stakeholders, planning, cost, quality, risks, feasibility, methods & resourcing All Levels"
ChatGPT for Entrepreneurs,How to use AI to build your Business,Intermediate,4.2,Udemy,ChatGPT for Entrepreneurs How to use AI to build your Business All Levels
Learn to Build an Outdoor Environment with Unreal Engine 4,Learn to create a game level from scratch using an industry-standard game engine!,Beginner,4.1,Udemy,Learn to Build an Outdoor Environment with Unreal Engine 4 Learn to create a game level from scratch using an industry-standard game engine! Beginner
Image Processing andAnalysis for Life Scientists,"Image Processing, Workflow Management, Biology, Image Analysis, Service-Oriented",Intermediate,0.0,edX,"Image Processing andAnalysis for Life Scientists Image Processing, Workflow Management, Biology, Image Analysis, Service-Oriented Intermediate"
Flutter cross-platform course that will get you job.,Complete Flutter course that will get you job as Flutter Developer. You'll gain all the skills required by IT-companies.,Beginner,3.5,Udemy,Flutter cross-platform course that will get you job. Complete Flutter course that will get you job as Flutter Developer. You'll gain all the skills required by IT-companies. Beginner
CompTIA Network+ N10-008 Video Bootcamp,* Covers All New Topics in the Network+ N10-008 Exam * Learn networking basics * Everything you need to pass the exam,Beginner,4.4,Udemy,CompTIA Network+ N10-008 Video Bootcamp * Covers All New Topics in the Network+ N10-008 Exam * Learn networking basics * Everything you need to pass the exam Beginner
SC-300 Microsoft Identity and Access Administrator Exam Prep,"Learn Azure identity and access concepts, and get certified, with this complete SC-300 course! Brand new AUG 2021.",Intermediate,4.4,Udemy,"SC-300 Microsoft Identity and Access Administrator Exam Prep Learn Azure identity and access concepts, and get certified, with this complete SC-300 course! Brand new AUG 2021. All Levels"
"Python Programming: Beginner to Expert, 500+ Python Code Ex.","Python Programming: Mastering Python Beginner to Expert + Free Python3 projects, 500 + Python 3 Free Coding excercises",Intermediate,4.5,Udemy,"Python Programming: Beginner to Expert, 500+ Python Code Ex. Python Programming: Mastering Python Beginner to Expert + Free Python3 projects, 500 + Python 3 Free Coding excercises All Levels"
Electronics S1W1: Basic Terminology and Schematic Symbols,"Intro to Electronics: Learn about bonding, conductors, insulators, terminology & schematic symbols (Semester 1, Week 1)",Beginner,4.1,Udemy,"Electronics S1W1: Basic Terminology and Schematic Symbols Intro to Electronics: Learn about bonding, conductors, insulators, terminology & schematic symbols (Semester 1, Week 1) Beginner"
Complete PHP MVC tutorial. Create your own PHP MVC framework,Create your own PHP MVC framework and CMS step by step. Learn in which way popular PHP frameworks work.,Intermediate,4.0,Udemy,Complete PHP MVC tutorial. Create your own PHP MVC framework Create your own PHP MVC framework and CMS step by step. Learn in which way popular PHP frameworks work. All Levels
ClickBank Success: Zero Cost Advertising Affiliate Marketing,Learn the steps to succeed as a ClickBank affiliate without having to spend a single cent on advertising!,Intermediate,4.1,Udemy,ClickBank Success: Zero Cost Advertising Affiliate Marketing Learn the steps to succeed as a ClickBank affiliate without having to spend a single cent on advertising! All Levels
Public Speaking for Beginners,"Public Speaking Skills Developed From Scratch, in Little Time",Beginner,4.7,Udemy,"Public Speaking for Beginners Public Speaking Skills Developed From Scratch, in Little Time Beginner"
Present like a management consultant,"Unlock the secrets to creating amazing presentations like the one from top 3 consulting firms McKinsey, Bain, and BCG",Intermediate,4.1,Udemy,"Present like a management consultant Unlock the secrets to creating amazing presentations like the one from top 3 consulting firms McKinsey, Bain, and BCG All Levels"
Supply Chain ManagementTools and Techniques,"Supply Chain Analysis, Operations, Sales Order, Aggregate Planning, Continuous Improvement Process, Six Sigma Methodology, Lean Manufacturing, Supply Chain, Planning, Supply Chain Management, Life-Cycle Assessment",Beginner,0.0,edX,"Supply Chain ManagementTools and Techniques Supply Chain Analysis, Operations, Sales Order, Aggregate Planning, Continuous Improvement Process, Six Sigma Methodology, Lean Manufacturing, Supply Chain, Planning, Supply Chain Management, Life-Cycle Assessment Introductory"
LEARNING PATH: Laravel: Complete Guide to Laravel,Grasp the power of Laravel to build modern applications,Beginner,4.4,Udemy,LEARNING PATH: Laravel: Complete Guide to Laravel Grasp the power of Laravel to build modern applications Beginner
SAP S/4 HANA Variant Configuration for MTO and MTS scenarios,LOVC for Make to Order and Make to Stock,Intermediate,4.6,Udemy,SAP S/4 HANA Variant Configuration for MTO and MTS scenarios LOVC for Make to Order and Make to Stock All Levels
Java FullStack Developer,"{"" Algorithms"","" Computer Programming"","" Java Programming"","" Javascript"","" Web Development""}",Intermediate,4.4,Coursera,"Java FullStack Developer {"" Algorithms"","" Computer Programming"","" Java Programming"","" Javascript"","" Web Development""} Intermediate "
Upskill with Tally ERP 9,"Tally ERP 9 applications, Types of vouchers, Types of reports and additional features",Intermediate,4.3,Udemy,"Upskill with Tally ERP 9 Tally ERP 9 applications, Types of vouchers, Types of reports and additional features Intermediate"
Intercultural communication,Get the best experience interacting with people from other culture or background,Intermediate,4.4,Udemy,Intercultural communication Get the best experience interacting with people from other culture or background All Levels
Crash course: Data analytics in Python using Pandas,Let's get to grips with the Python Pandas library for data analytics / analysis,Beginner,4.6,Udemy,Crash course: Data analytics in Python using Pandas Let's get to grips with the Python Pandas library for data analytics / analysis Beginner
Python Web Programming,Access and parse the web with Python,Beginner,3.9,Udemy,Python Web Programming Access and parse the web with Python Beginner
The Complete SEO Course From Beginner To Professional 2023,Under construction SEO course: added to most weeks: Grow with us!,Intermediate,4.5,Udemy,The Complete SEO Course From Beginner To Professional 2023 Under construction SEO course: added to most weeks: Grow with us! All Levels
The Complete Introduction to OpenFOAM,Learn CFD through Solid Mechanics with OpenFOAM and the FOAM-Extend Solid Mechanics library,Beginner,4.6,Udemy,The Complete Introduction to OpenFOAM Learn CFD through Solid Mechanics with OpenFOAM and the FOAM-Extend Solid Mechanics library Beginner
Futures/Forex/Commodity Trend Trade,One of the most highly succesful trade patterns,Intermediate,4.6,Udemy,Futures/Forex/Commodity Trend Trade One of the most highly succesful trade patterns All Levels
Selenium: Easy Guide to Automated Functional Testing Dev,"Selenium WebDriver, Autoit and IntelliJ: An Easy Guide to Automated Functional Testing Development on Selenium with Java",Beginner,4.3,Udemy,"Selenium: Easy Guide to Automated Functional Testing Dev Selenium WebDriver, Autoit and IntelliJ: An Easy Guide to Automated Functional Testing Development on Selenium with Java Beginner"
"SC-900: Microsoft Security, Compliance, Identity (Nov 2023)","Learn about SCI in Microsoft Azure,  Azure Sentinel, Microsoft 365 Defender, InTune and MS Purview. For exam SC-900.",Beginner,4.6,Udemy,"SC-900: Microsoft Security, Compliance, Identity (Nov 2023) Learn about SCI in Microsoft Azure,  Azure Sentinel, Microsoft 365 Defender, InTune and MS Purview. For exam SC-900. Beginner"
How To Use iMovie To Edit Your Videos,Learn step-by-step how to turn your unedited videos into exciting iMovie videos with only 5 easy steps!,Beginner,4.3,Udemy,How To Use iMovie To Edit Your Videos Learn step-by-step how to turn your unedited videos into exciting iMovie videos with only 5 easy steps! Beginner
Hypnosis - Hypnotic Inductions Mastery,Master the Hypnotic Process - Learn all styles of Inductions; Understand Hypnosis Theory; Artfully use Hypnotic Language,Intermediate,4.8,Udemy,Hypnosis - Hypnotic Inductions Mastery Master the Hypnotic Process - Learn all styles of Inductions; Understand Hypnosis Theory; Artfully use Hypnotic Language All Levels
The Ultimate QuickBooks Pro Training Bundle - 70+ Hours,"Master QuickBooks Pro with this training bundle consisting of 9 courses, 70+ hours, and over 700 videos.",Beginner,4.6,Udemy,"The Ultimate QuickBooks Pro Training Bundle - 70+ Hours Master QuickBooks Pro with this training bundle consisting of 9 courses, 70+ hours, and over 700 videos. Beginner"
Robotics,"{"" Mathematics"","" Computer Vision"","" Linear Algebra"","" Problem Solving"","" Geometry"","" Algebra"","" Planning"","" Computer Graphics"","" Estimation"","" Mathematical Theory & Analysis"","" Computer Programming"","" Differential Equations"","" Visualization (Computer Graphics)"","" Algorithms"","" Matlab"","" Software Visualization"","" Computer Graphic Techniques"","" Theoretical Computer Science"","" Graph Theory"","" Material Handling"","" Computational Thinking"","" Geovisualization""}",Beginner,4.4,Coursera,"Robotics {"" Mathematics"","" Computer Vision"","" Linear Algebra"","" Problem Solving"","" Geometry"","" Algebra"","" Planning"","" Computer Graphics"","" Estimation"","" Mathematical Theory & Analysis"","" Computer Programming"","" Differential Equations"","" Visualization (Computer Graphics)"","" Algorithms"","" Matlab"","" Software Visualization"","" Computer Graphic Techniques"","" Theoretical Computer Science"","" Graph Theory"","" Material Handling"","" Computational Thinking"","" Geovisualization""} Beginner "
AWS Certified Cloud Practitioner CLF-C02,Get a detailed overview of all core AWS services needed to pass the certification exam & boost your cloud career!,Beginner,4.6,Udemy,AWS Certified Cloud Practitioner CLF-C02 Get a detailed overview of all core AWS services needed to pass the certification exam & boost your cloud career! Beginner
AI & ML Starter Course with Hands-On Projects [2023],Learn Artificial Intelligence & Machine Learning with Hands-On Projects,Beginner,4.1,Udemy,AI & ML Starter Course with Hands-On Projects [2023] Learn Artificial Intelligence & Machine Learning with Hands-On Projects Beginner
Gain Practical Communication Skills with this Complete Guide,Are You Tired of Dry Communication Skills Theory? Here You Will Learn ALL Practical Skills You Can Implement Right Away,Intermediate,4.6,Udemy,Gain Practical Communication Skills with this Complete Guide Are You Tired of Dry Communication Skills Theory? Here You Will Learn ALL Practical Skills You Can Implement Right Away All Levels
Master Microsoft Access - Access from Beginner to Advanced,"Develop dynamic Access databases fast in this easy to learn Microsoft Access Course (2010, 2013, 2016, 2019 & 365)",Intermediate,4.4,Udemy,"Master Microsoft Access - Access from Beginner to Advanced Develop dynamic Access databases fast in this easy to learn Microsoft Access Course (2010, 2013, 2016, 2019 & 365) All Levels"
Theory of Demand & Supply Analysis : Practice Test 2023,A Beginner's Exam Practice Guide With Updated Exam Question that is Best for Self-Study & Self-Assessment.,,3.5,Udemy,Theory of Demand & Supply Analysis : Practice Test 2023 A Beginner's Exam Practice Guide With Updated Exam Question that is Best for Self-Study & Self-Assessment. nan
Introduction to Devops - Learn DevOps basics in 90 Minutes!,Learn the basics of DevOps with no prior knowledge required. Ideal for anyone new to DevOps.,Beginner,4.5,Udemy,Introduction to Devops - Learn DevOps basics in 90 Minutes! Learn the basics of DevOps with no prior knowledge required. Ideal for anyone new to DevOps. Beginner
Building REST APIs with Flask and Python in 2023,"Develop expert REST APIs using Python, Flask, Docker, Flask-Smorest, and Flask-SQLAlchemy for a professional touch",Intermediate,4.8,Udemy,"Building REST APIs with Flask and Python in 2023 Develop expert REST APIs using Python, Flask, Docker, Flask-Smorest, and Flask-SQLAlchemy for a professional touch Intermediate"
Persuasion Masterclass: How To Powerfully Influence Anyone,Master The 3 Hidden Skills of the Most Persuasive People Without Manipulation In 10 Minutes A Day …Guaranteed!,Intermediate,4.5,Udemy,Persuasion Masterclass: How To Powerfully Influence Anyone Master The 3 Hidden Skills of the Most Persuasive People Without Manipulation In 10 Minutes A Day …Guaranteed! All Levels
React and Laravel: Breaking a Monolith to Microservices,"Microservices Architecture, React, Next.js, Laravel, Docker, RabbitMQ, Event Driven Microservices, Internal APIs, Redis",Intermediate,3.6,Udemy,"React and Laravel: Breaking a Monolith to Microservices Microservices Architecture, React, Next.js, Laravel, Docker, RabbitMQ, Event Driven Microservices, Internal APIs, Redis All Levels"
"Palo Alto Networks Automation with API, Python & Ansible","A practical course to learn Automation using API, Python & Ansible with Palo Alto Networks Firewalls & Panorama",Intermediate,4.8,Udemy,"Palo Alto Networks Automation with API, Python & Ansible A practical course to learn Automation using API, Python & Ansible with Palo Alto Networks Firewalls & Panorama Intermediate"
